issue,offset,block,phase,amp,active,jjas,anom_mm,expected_mm,pct
2010-01-01,3,Dhuri,3,1.801759,True,0,-1.1514874675072286,1.1515,-99.99891163762298
2010-01-01,3,Lehra,3,1.801759,True,0,-0.9321000000000002,0.9321000000000002,-99.99999999999999
2010-01-01,3,Malerkotla,3,1.801759,True,0,-1.5427928314973713,1.5428000000000002,-99.99953535762063
2010-01-01,3,Moonak,3,1.801759,True,0,-1.2537,1.2537,-100.0
2010-01-01,3,Sangrur,3,1.801759,True,0,-1.4115,1.4115,-100.0
2010-01-01,3,Sunam,3,1.801759,True,0,-0.9258,0.9258,-100.0
2010-01-02,3,Dhuri,3,1.6186566,True,0,-1.3924,1.3924,-100.0
2010-01-02,3,Lehra,3,1.6186566,True,0,-1.1745,1.1745,-100.0
2010-01-02,3,Malerkotla,3,1.6186566,True,0,-1.7105,1.7105,-100.0
2010-01-02,3,Moonak,3,1.6186566,True,0,-1.4766,1.4766,-100.0
2010-01-02,3,Sangrur,3,1.6186566,True,0,-1.6748999999999998,1.6748999999999998,-100.0
2010-01-02,3,Sunam,3,1.6186566,True,0,-1.1755,1.1755,-100.0
2010-01-03,3,Dhuri,3,1.4671835,True,0,-1.6092,1.6092,-100.0
2010-01-03,3,Lehra,3,1.4671835,True,0,-1.3964,1.3964,-100.0
2010-01-03,3,Malerkotla,3,1.4671835,True,0,-1.8523,1.8523,-100.0
2010-01-03,3,Moonak,3,1.4671835,True,0,-1.6817,1.6817,-100.0
2010-01-03,3,Sangrur,3,1.4671835,True,0,-1.9184999999999999,1.9184999999999999,-100.0
2010-01-03,3,Sunam,3,1.4671835,True,0,-1.4149,1.4149,-100.0
2010-01-04,3,Dhuri,4,1.4235363,True,0,-1.8318,1.8318,-100.0
2010-01-04,3,Lehra,4,1.4235363,True,0,-1.6022,1.6022,-100.0
2010-01-04,3,Malerkotla,4,1.4235363,True,0,-2.0055,2.0055,-100.0
2010-01-04,3,Moonak,4,1.4235363,True,0,-1.8735,1.8735,-100.0
2010-01-04,3,Sangrur,4,1.4235363,True,0,-2.1702,2.1702,-100.0
2010-01-04,3,Sunam,4,1.4235363,True,0,-1.6461999999999999,1.6461999999999999,-99.99999999999999
2010-01-05,3,Dhuri,4,1.2636418,True,0,-2.2218,2.2218,-100.0
