phase,active,jjas,offset,block,n,mean_anom_mm,median_anom_mm,mean_pct,ci_lo_mm,ci_hi_mm,frac_days_above_normal
1,False,0,3,Dhuri,96,1.071,-1.728,39.4,-0.42,2.562,0.344
1,False,0,3,Lehra,96,0.869,-1.189,14.57,-0.512,2.249,0.354
1,False,0,3,Malerkotla,96,1.361,-1.908,40.79,-0.33,3.052,0.333
1,False,0,3,Moonak,96,0.64,-1.205,9.12,-0.676,1.956,0.333
1,False,0,3,Sangrur,96,0.992,-1.269,26.56,-0.451,2.435,0.323
1,False,0,3,Sunam,96,0.864,-1.048,18.07,-0.531,2.26,0.375
1,False,0,10,Dhuri,96,0.336,-1.864,39.81,-1.336,2.009,0.302
1,False,0,10,Lehra,96,0.204,-1.55,50.34,-1.253,1.661,0.312
1,False,0,10,Malerkotla,96,0.252,-2.333,38.31,-1.556,2.059,0.302
1,False,0,10,Moonak,96,0.182,-1.478,58.5,-1.269,1.633,0.292
1,False,0,10,Sangrur,96,0.045,-1.877,24.68,-1.452,1.542,0.25
1,False,0,10,Sunam,96,0.067,-1.654,36.36,-1.378,1.513,0.302
1,False,0,17,Dhuri,96,-2.626,-2.68,-58.32,-3.494,-1.758,0.167
1,False,0,17,Lehra,96,-2.193,-2.535,-67.24,-2.916,-1.47,0.135
1,False,0,17,Malerkotla,96,-2.883,-2.841,-54.87,-3.91,-1.857,0.167
1,False,0,17,Moonak,96,-2.235,-2.262,-63.6,-2.92,-1.549,0.104
1,False,0,17,Sangrur,96,-2.622,-2.811,-60.43,-3.498,-1.746,0.167
1,False,0,17,Sunam,96,-2.419,-2.396,-65.09,-3.227,-1.611,0.146
1,False,0,24,Dhuri,96,-1.481,-1.894,-19.46,-2.836,-0.125,0.24
1,False,0,24,Lehra,96,-0.738,-1.085,-18.6,-2.076,0.599,0.25
1,False,0,24,Malerkotla,96,-1.776,-2.035,-24.77,-3.214,-0.337,0.219
1,False,0,24,Moonak,96,-0.814,-1.293,-22.06,-2.196,0.569,0.198
1,False,0,24,Sangrur,96,-1.568,-1.618,-17.45,-2.949,-0.188,0.229
1,False,0,24,Sunam,96,-1.146,-1.262,-19.04,-2.473,0.181,0.281
1,False,1,3,Dhuri,83,0.517,-3.106,13.0,-6.553,7.587,0.337
1,False,1,3,Lehra,83,3.509,-3.049,24.76,-3.816,10.835,0.458
1,False,1,3,Malerkotla,83,-0.787,-4.722,8.37,-7.85,6.276,0.337
1,False,1,3,Moonak,83,4.604,-2.407,29.29,-2.787,11.995,0.458
1,False,1,3,Sangrur,83,1.715,-4.127,17.15,-5.45,8.88,0.422
1,False,1,3,Sunam,83,2.717,-2.61,21.04,-4.432,9.866,0.434
1,False,1,10,Dhuri,83,0.643,-2.523,6.52,-5.388,6.675,0.373
1,False,1,10,Lehra,83,3.061,-3.584,10.91,-3.005,9.127,0.386
1,False,1,10,Malerkotla,83,0.388,-4.423,6.86,-5.478,6.253,0.41
1,False,1,10,Moonak,83,4.572,-1.818,13.18,-1.413,10.557,0.422
