forecast_date,split,status,n_rows,error
2016-07-15,train,success,42,
2024-08-01,test,success,42,
2019-09-04,train,success,42,
2016-06-06,train,success,42,
2016-06-01,,failed,0,failed /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/01/c3g_2016.06.02.tif: Dataset is closed: /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/01/c3g_2016.06.02.tif
2016-06-03,,failed,0,failed /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/03/c3g_2016.06.04.tif: Dataset is closed: /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/03/c3g_2016.06.04.tif
2016-06-02,,failed,0,failed /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/02/c3g_2016.06.03.tif: Dataset is closed: /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/02/c3g_2016.06.03.tif
2016-06-05,,failed,0,failed /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/05/c3g_2016.06.06.tif: Dataset is closed: /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/05/c3g_2016.06.06.tif
2016-06-04,,failed,0,failed /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/04/c3g_2016.06.05.tif: Dataset is closed: /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/04/c3g_2016.06.05.tif
2016-06-07,,failed,0,failed /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/07/c3g_2016.06.08.tif: Dataset is closed: /vsicurl/https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2016/06/07/c3g_2016.06.08.tif
