forecast_date,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_file,source_date
2010-07-15,1,Dhuri,2010-07-15,0.0,22,c3g_2010.07.15.tif,2010.07.15
2010-07-15,1,Lehra,2010-07-15,0.0,16,c3g_2010.07.15.tif,2010.07.15
2010-07-15,1,Malerkotla,2010-07-15,0.0,28,c3g_2010.07.15.tif,2010.07.15
2010-07-15,1,Moonak,2010-07-15,0.0008627500695486864,12,c3g_2010.07.15.tif,2010.07.15
2010-07-15,1,Sangrur,2010-07-15,0.0,28,c3g_2010.07.15.tif,2010.07.15
2010-07-15,1,Sunam,2010-07-15,0.0,28,c3g_2010.07.15.tif,2010.07.15
2019-09-04,1,Dhuri,2019-09-04,2.6491810191761362,22,c3g_2019.09.04.tif,2019.09.04
2019-09-04,1,Lehra,2019-09-04,1.52329808101058,16,c3g_2019.09.04.tif,2019.09.04
2019-09-04,1,Malerkotla,2019-09-04,3.5131907037326267,28,c3g_2019.09.04.tif,2019.09.04
2019-09-04,1,Moonak,2019-09-04,1.8279336492220561,12,c3g_2019.09.04.tif,2019.09.04
2019-09-04,1,Sangrur,2019-09-04,2.499116974217551,28,c3g_2019.09.04.tif,2019.09.04
2019-09-04,1,Sunam,2019-09-04,2.0017949555601393,28,c3g_2019.09.04.tif,2019.09.04
2025-08-01,1,Dhuri,2025-08-01,14.59963356364857,22,c3g_2025.08.01.tif,2025.08.01
2025-08-01,1,Lehra,2025-08-01,11.42333608865738,16,c3g_2025.08.01.tif,2025.08.01
2025-08-01,1,Malerkotla,2025-08-01,15.536925077438354,28,c3g_2025.08.01.tif,2025.08.01
2025-08-01,1,Moonak,2025-08-01,10.816149552663168,12,c3g_2025.08.01.tif,2025.08.01
2025-08-01,1,Sangrur,2025-08-01,15.098113536834717,28,c3g_2025.08.01.tif,2025.08.01
2025-08-01,1,Sunam,2025-08-01,13.515436172485352,28,c3g_2025.08.01.tif,2025.08.01
2009-12-31,1,Dhuri,2009-12-31,0.0,22,c3g_2009.12.31.tif,2009.12.31
2009-12-31,1,Lehra,2009-12-31,0.0,16,c3g_2009.12.31.tif,2009.12.31
2009-12-31,1,Malerkotla,2009-12-31,0.0,28,c3g_2009.12.31.tif,2009.12.31
2009-12-31,1,Moonak,2009-12-31,0.0,12,c3g_2009.12.31.tif,2009.12.31
2009-12-31,1,Sangrur,2009-12-31,0.0,28,c3g_2009.12.31.tif,2009.12.31
2009-12-31,1,Sunam,2009-12-31,0.0,28,c3g_2009.12.31.tif,2009.12.31
2010-01-01,1,Dhuri,2010-01-01,0.0,22,c3g_2010.01.01.tif,2010.01.01
2010-01-01,1,Lehra,2010-01-01,0.0,16,c3g_2010.01.01.tif,2010.01.01
2010-01-01,1,Malerkotla,2010-01-01,0.0,28,c3g_2010.01.01.tif,2010.01.01
2010-01-01,1,Moonak,2010-01-01,0.0,12,c3g_2010.01.01.tif,2010.01.01
2010-01-01,1,Sangrur,2010-01-01,0.0,28,c3g_2010.01.01.tif,2010.01.01
2010-01-01,1,Sunam,2010-01-01,0.0,28,c3g_2010.01.01.tif,2010.01.01
2010-01-02,1,Dhuri,2010-01-02,0.0,22,c3g_2010.01.02.tif,2010.01.02
2010-01-02,1,Lehra,2010-01-02,0.0,16,c3g_2010.01.02.tif,2010.01.02
2010-01-02,1,Malerkotla,2010-01-02,0.0,28,c3g_2010.01.02.tif,2010.01.02
2010-01-02,1,Moonak,2010-01-02,0.0,12,c3g_2010.01.02.tif,2010.01.02
2010-01-02,1,Sangrur,2010-01-02,0.0,28,c3g_2010.01.02.tif,2010.01.02
2010-01-02,1,Sunam,2010-01-02,0.0,28,c3g_2010.01.02.tif,2010.01.02
