forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_issue,source_target,target_7d_rainfall_mm
2016-07-15,train,1,Dhuri,2016-07-16,19.999367583881725,22,2016.07.15,2016.07.16,22.303599927174268
2016-07-15,train,1,Lehra,2016-07-16,20.866798877716064,16,2016.07.15,2016.07.16,30.951009386942715
2016-07-15,train,1,Malerkotla,2016-07-16,21.37765227045332,28,2016.07.15,2016.07.16,14.619586850196912
2016-07-15,train,1,Moonak,2016-07-16,21.99682076772054,12,2016.07.15,2016.07.16,31.002049257871967
2016-07-15,train,1,Sangrur,2016-07-16,21.118397780827117,28,2016.07.15,2016.07.16,27.60215139431685
2016-07-15,train,1,Sunam,2016-07-16,19.005262647356307,28,2016.07.15,2016.07.16,28.661101851525846
2016-07-15,train,2,Dhuri,2016-07-17,15.91915156624534,22,2016.07.15,2016.07.17,22.303599927174268
2016-07-15,train,2,Lehra,2016-07-17,11.627447307109833,16,2016.07.15,2016.07.17,30.951009386942715
2016-07-15,train,2,Malerkotla,2016-07-17,20.40132716723851,28,2016.07.15,2016.07.17,14.619586850196912
2016-07-15,train,2,Moonak,2016-07-17,11.924201885859173,12,2016.07.15,2016.07.17,31.002049257871967
2016-07-15,train,2,Sangrur,2016-07-17,17.00533856664385,28,2016.07.15,2016.07.17,27.60215139431685
2016-07-15,train,2,Sunam,2016-07-17,13.281144755227226,28,2016.07.15,2016.07.17,28.661101851525846
2016-07-15,train,3,Dhuri,2016-07-18,10.157513791864568,22,2016.07.15,2016.07.18,22.303599927174268
2016-07-15,train,3,Lehra,2016-07-18,8.336141020059586,16,2016.07.15,2016.07.18,30.951009386942715
2016-07-15,train,3,Malerkotla,2016-07-18,9.526784351893834,28,2016.07.15,2016.07.18,14.619586850196912
2016-07-15,train,3,Moonak,2016-07-18,8.67932403087616,12,2016.07.15,2016.07.18,31.002049257871967
2016-07-15,train,3,Sangrur,2016-07-18,11.0810786315373,28,2016.07.15,2016.07.18,27.60215139431685
2016-07-15,train,3,Sunam,2016-07-18,10.5121591091156,28,2016.07.15,2016.07.18,28.661101851525846
2016-07-15,train,4,Dhuri,2016-07-19,3.706223834644665,22,2016.07.15,2016.07.19,22.303599927174268
2016-07-15,train,4,Lehra,2016-07-19,2.3302801102399826,16,2016.07.15,2016.07.19,30.951009386942715
2016-07-15,train,4,Malerkotla,2016-07-19,3.477480249745505,28,2016.07.15,2016.07.19,14.619586850196912
2016-07-15,train,4,Moonak,2016-07-19,2.4207961757977805,12,2016.07.15,2016.07.19,31.002049257871967
2016-07-15,train,4,Sangrur,2016-07-19,3.537487362112318,28,2016.07.15,2016.07.19,27.60215139431685
2016-07-15,train,4,Sunam,2016-07-19,2.9625011682510376,28,2016.07.15,2016.07.19,28.661101851525846
2016-07-15,train,5,Dhuri,2016-07-20,0.4298704557798125,22,2016.07.15,2016.07.20,22.303599927174268
2016-07-15,train,5,Lehra,2016-07-20,0.1107604359276592,16,2016.07.15,2016.07.20,30.951009386942715
2016-07-15,train,5,Malerkotla,2016-07-20,0.699347442814282,28,2016.07.15,2016.07.20,14.619586850196912
2016-07-15,train,5,Moonak,2016-07-20,0.086631973584493,12,2016.07.15,2016.07.20,31.002049257871967
2016-07-15,train,5,Sangrur,2016-07-20,0.1103048774280718,28,2016.07.15,2016.07.20,27.60215139431685
2016-07-15,train,5,Sunam,2016-07-20,0.0644133784142988,28,2016.07.15,2016.07.20,28.661101851525846
2016-07-15,train,6,Dhuri,2016-07-21,0.9365729174830696,22,2016.07.15,2016.07.21,22.303599927174268
2016-07-15,train,6,Lehra,2016-07-21,1.1652938723564148,16,2016.07.15,2016.07.21,30.951009386942715
2016-07-15,train,6,Malerkotla,2016-07-21,0.9169546280588422,28,2016.07.15,2016.07.21,14.619586850196912
2016-07-15,train,6,Moonak,2016-07-21,1.4271991451581318,12,2016.07.15,2016.07.21,31.002049257871967
2016-07-15,train,6,Sangrur,2016-07-21,1.2538245895079203,28,2016.07.15,2016.07.21,27.60215139431685
2016-07-15,train,6,Sunam,2016-07-21,1.354364997574261,28,2016.07.15,2016.07.21,28.661101851525846
2016-07-15,train,7,Dhuri,2016-07-22,5.623100855133751,22,2016.07.15,2016.07.22,22.303599927174268
2016-07-15,train,7,Lehra,2016-07-22,2.6843854784965515,16,2016.07.15,2016.07.22,30.951009386942715
2016-07-15,train,7,Malerkotla,2016-07-22,7.236510957990374,28,2016.07.15,2016.07.22,14.619586850196912
2016-07-15,train,7,Moonak,2016-07-22,2.854356129964193,12,2016.07.15,2016.07.22,31.002049257871967
2016-07-15,train,7,Sangrur,2016-07-22,4.880620181560516,28,2016.07.15,2016.07.22,27.60215139431685
2016-07-15,train,7,Sunam,2016-07-22,3.699258148670197,28,2016.07.15,2016.07.22,28.661101851525846
2024-08-01,test,1,Dhuri,2024-08-02,3.538808833469044,22,2024.08.01,2024.08.02,33.880927830957326
2024-08-01,test,1,Lehra,2024-08-02,2.165184795856476,16,2024.08.01,2024.08.02,26.794562546805988
2024-08-01,test,1,Malerkotla,2024-08-02,3.903854991708483,28,2024.08.01,2024.08.02,26.51280014169004
2024-08-01,test,1,Moonak,2024-08-02,2.4394411444664,12,2024.08.01,2024.08.02,19.87604245921019
2024-08-01,test,1,Sangrur,2024-08-02,3.631793371268681,28,2024.08.01,2024.08.02,36.777077300221194
2024-08-01,test,1,Sunam,2024-08-02,3.0248158148356845,28,2024.08.01,2024.08.02,35.10022849823536
2024-08-01,test,2,Dhuri,2024-08-03,7.838684472170743,22,2024.08.01,2024.08.03,33.880927830957326
2024-08-01,test,2,Lehra,2024-08-03,3.3891361206769943,16,2024.08.01,2024.08.03,26.794562546805988
2024-08-01,test,2,Malerkotla,2024-08-03,9.257041811943054,28,2024.08.01,2024.08.03,26.51280014169004
2024-08-01,test,2,Moonak,2024-08-03,3.30987940231959,12,2024.08.01,2024.08.03,19.87604245921019
2024-08-01,test,2,Sangrur,2024-08-03,6.830980266843524,28,2024.08.01,2024.08.03,36.777077300221194
2024-08-01,test,2,Sunam,2024-08-03,4.94289323261806,28,2024.08.01,2024.08.03,35.10022849823536
2024-08-01,test,3,Dhuri,2024-08-04,3.9780054200779302,22,2024.08.01,2024.08.04,33.880927830957326
2024-08-01,test,3,Lehra,2024-08-04,2.3426819890737534,16,2024.08.01,2024.08.04,26.794562546805988
2024-08-01,test,3,Malerkotla,2024-08-04,4.3006773591041565,28,2024.08.01,2024.08.04,26.51280014169004
2024-08-01,test,3,Moonak,2024-08-04,2.240078349908193,12,2024.08.01,2024.08.04,19.87604245921019
2024-08-01,test,3,Sangrur,2024-08-04,3.6149486558777935,28,2024.08.01,2024.08.04,36.777077300221194
2024-08-01,test,3,Sunam,2024-08-04,2.9277758853776112,28,2024.08.01,2024.08.04,35.10022849823536
2024-08-01,test,4,Dhuri,2024-08-05,6.992589517073198,22,2024.08.01,2024.08.05,33.880927830957326
