forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source,product,statistic,init_time,member_count,mean_source,model_era
2026-09-13,live,1,Dhuri,2026-09-14,2.6617050170898438,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,1,Lehra,2026-09-14,4.98199462890625,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,1,Malerkotla,2026-09-14,1.8129348754882812,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,1,Moonak,2026-09-14,4.8084259033203125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,1,Sangrur,2026-09-14,2.9296875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,1,Sunam,2026-09-14,2.89764404296875,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,2,Dhuri,2026-09-15,1.5993118286132812,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,2,Lehra,2026-09-15,1.9810994466145833,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,2,Malerkotla,2026-09-15,2.7189254760742188,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,2,Moonak,2026-09-15,1.678466796875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,2,Sangrur,2026-09-15,1.6193389892578125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,2,Sunam,2026-09-15,1.8280029296875,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,3,Dhuri,2026-09-16,1.1234283447265625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,3,Lehra,2026-09-16,0.9333292643229166,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,3,Malerkotla,2026-09-16,1.41143798828125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,3,Moonak,2026-09-16,0.946044921875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,3,Sangrur,2026-09-16,0.823974609375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,3,Sunam,2026-09-16,0.93536376953125,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,4,Dhuri,2026-09-17,5.4645538330078125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,4,Lehra,2026-09-17,3.3289591471354165,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,4,Malerkotla,2026-09-17,4.6234130859375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,4,Moonak,2026-09-17,3.4160614013671875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,4,Sangrur,2026-09-17,4.2438507080078125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,4,Sunam,2026-09-17,3.9581298828125,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,5,Dhuri,2026-09-18,3.35693359375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,5,Lehra,2026-09-18,2.6906331380208335,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,5,Malerkotla,2026-09-18,2.170562744140625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,5,Moonak,2026-09-18,2.605438232421875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,5,Sangrur,2026-09-18,3.139495849609375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,5,Sunam,2026-09-18,3.4820556640625,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Dhuri,2026-09-19,0.392913818359375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Lehra,2026-09-19,0.08138020833333333,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Malerkotla,2026-09-19,0.072479248046875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Moonak,2026-09-19,0.06103515625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Sangrur,2026-09-19,0.431060791015625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Sunam,2026-09-19,0.3753662109375,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Dhuri,2026-09-20,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Lehra,2026-09-20,0.0,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Malerkotla,2026-09-20,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Moonak,2026-09-20,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
