season,window,arm,bin,n,mean_p,obs_freq
JJAS,W3,FLAT,0.2-0.4,630,0.333,0.406
JJAS,W3,SEASONAL,0.0-0.2,41,0.124,0.22
JJAS,W3,SEASONAL,0.2-0.4,506,0.324,0.409
JJAS,W3,SEASONAL,0.4-0.6,83,0.483,0.482
JJAS,W3,PERSIST_LR,0.2-0.4,526,0.32,0.388
JJAS,W3,PERSIST_LR,0.4-0.6,104,0.436,0.5
JJAS,W4,FLAT,0.2-0.4,630,0.333,0.397
JJAS,W4,SEASONAL,0.0-0.2,43,0.124,0.209
JJAS,W4,SEASONAL,0.2-0.4,503,0.32,0.404
JJAS,W4,SEASONAL,0.4-0.6,84,0.486,0.452
JJAS,W4,PERSIST_LR,0.2-0.4,617,0.329,0.4
JJAS,W4,PERSIST_LR,0.4-0.6,13,0.41,0.231
