system:index,block,date,rainfall_mm,.geo
20100101_00000000000000000000,Dhuri,2010-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100101_00000000000000000001,Lehra,2010-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100101_00000000000000000002,Malerkotla,2010-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100101_00000000000000000003,Moonak,2010-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100101_00000000000000000004,Sangrur,2010-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100101_00000000000000000005,Sunam,2010-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100102_00000000000000000000,Dhuri,2010-01-02,2.889147932187894E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100102_00000000000000000001,Lehra,2010-01-02,0.005080984274505529,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100102_00000000000000000002,Malerkotla,2010-01-02,1.937683570469333E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100102_00000000000000000003,Moonak,2010-01-02,0.02049954653102123,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100102_00000000000000000004,Sangrur,2010-01-02,0.001243982313622634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100102_00000000000000000005,Sunam,2010-01-02,0.002463283517912321,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100103_00000000000000000000,Dhuri,2010-01-03,0.798230208552751,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100103_00000000000000000001,Lehra,2010-01-03,0.1721399631351232,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100103_00000000000000000002,Malerkotla,2010-01-03,1.396996005593489,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100103_00000000000000000003,Moonak,2010-01-03,0.37061969957436186,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100103_00000000000000000004,Sangrur,2010-01-03,1.3114079049745646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100103_00000000000000000005,Sunam,2010-01-03,0.4081542088584713,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100104_00000000000000000000,Dhuri,2010-01-04,1.2532492771417664E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100104_00000000000000000001,Lehra,2010-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100104_00000000000000000002,Malerkotla,2010-01-04,7.168502628744699E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100104_00000000000000000003,Moonak,2010-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100104_00000000000000000004,Sangrur,2010-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100104_00000000000000000005,Sunam,2010-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100105_00000000000000000000,Dhuri,2010-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100105_00000000000000000001,Lehra,2010-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100105_00000000000000000002,Malerkotla,2010-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100105_00000000000000000003,Moonak,2010-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100105_00000000000000000004,Sangrur,2010-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100105_00000000000000000005,Sunam,2010-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100106_00000000000000000000,Dhuri,2010-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100106_00000000000000000001,Lehra,2010-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100106_00000000000000000002,Malerkotla,2010-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100106_00000000000000000003,Moonak,2010-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100106_00000000000000000004,Sangrur,2010-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100106_00000000000000000005,Sunam,2010-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100107_00000000000000000000,Dhuri,2010-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100107_00000000000000000001,Lehra,2010-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100107_00000000000000000002,Malerkotla,2010-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100107_00000000000000000003,Moonak,2010-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100107_00000000000000000004,Sangrur,2010-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100107_00000000000000000005,Sunam,2010-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100108_00000000000000000000,Dhuri,2010-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100108_00000000000000000001,Lehra,2010-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100108_00000000000000000002,Malerkotla,2010-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100108_00000000000000000003,Moonak,2010-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100108_00000000000000000004,Sangrur,2010-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100108_00000000000000000005,Sunam,2010-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000000,Dhuri,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000001,Lehra,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000002,Malerkotla,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000003,Moonak,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000004,Sangrur,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000005,Sunam,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000000,Dhuri,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000001,Lehra,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000002,Malerkotla,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000003,Moonak,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000004,Sangrur,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000005,Sunam,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000000,Dhuri,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000001,Lehra,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
